"ID_CIDADE","CIDADE","UF","CEP_INICIO","CEP_FINAL"
16,"RIO BRANCO","AC","69900","69923"
30,"ARAPIRACA","AL","57300","57316"
109,"MACEIO","AL","57000","57099"
135,"PALMEIRA DOS INDIOS","AL","57600","57609"
233,"ITACOATIARA","AM","69100","69109"
241,"MANACAPURU","AM","69400","69409"
243,"MANAUS","AM","69000","69099"
256,"PARINTINS","AM","69150","69157"
272,"TEFE","AM","69550","69558"
307,"MACAPA","AP","68900","68911"
316,"SANTANA","AP","68925","68939"
342,"ALAGOINHAS","BA","48000","48099"
403,"BARREIRAS","BA","47800","47819"
473,"CAMACARI","BA","42800","42819"
489,"CANDEIAS","BA","43800","43839"
579,"EUNAPOLIS","BA","45820","45828"
582,"FEIRA DE SANTANA","BA","44000","44099"
659,"ILHEUS","BA","45650","45662"
683,"ITABUNA","BA","45600","45614"
749,"JEQUIE","BA","45200","45208"
759,"JUAZEIRO","BA","48900","48909"
909,"PAULO AFONSO","BA","48600","48619"
988,"SALVADOR","BA","40000","42599"
1006,"SANTO ANTONIO DE JESUS","BA","44570","44574"
1078,"TEIXEIRA DE FREITAS","BA","45985","45996"
1116,"VITORIA DA CONQUISTA","BA","45000","45099"
1284,"CAUCAIA","CE","61600","61676"
1301,"CRATO","CE","63100","63135"
1347,"FORTALEZA","CE","60000","61599"
1396,"IGUATU","CE","63500","63514"
1451,"JUAZEIRO DO NORTE","CE","63000","63079"
1486,"MARACANAU","CE","61900","61939"
1488,"MARANGUAPE","CE","61940","61949"
1636,"QUIXADA","CE","63900","63909"
1722,"SOBRAL","CE","62000","62099"
1778,"BRASILIA","DF","70000","72799"
1778,"BRASILIA","DF","73000","73699"
1816,"ARACRUZ","ES","29190","29199"
1839,"CACHOEIRO DE ITAPEMIRIM","ES","29300","29320"
1844,"CARIACICA","ES","29140","29159"
1847,"COLATINA","ES","29700","29719"
1879,"GUARAPARI","ES","29200","29227"
1925,"LINHARES","ES","29900","29918"
2019,"SAO MATEUS","ES","29930","29949"
2028,"SERRA","ES","29160","29184"
2038,"VIANA","ES","29130","29139"
2044,"VILA VELHA","ES","29100","29129"
2048,"VITORIA","ES","29000","29099"
2055,"AGUAS LINDAS DE GOIAS","GO","72910","72929"
2065,"ANAPOLIS","GO","75000","75149"
2069,"APARECIDA DE GOIANIA","GO","74900","74999"
2125,"CATALAO","GO","75700","75713"
2135,"CIDADE OCIDENTAL","GO","72880","72898"
2165,"FORMOSA","GO","73800","73816"
2174,"GOIANIA","GO","74000","74899"
2204,"ITUMBIARA","GO","75500","75544"
2209,"JATAI","GO","75800","75809"
